asset,band,days,1m_mean_pct,1m_median_pct,1m_hit_rate_pct,3m_mean_pct,3m_median_pct,3m_hit_rate_pct,12m_mean_pct,12m_median_pct,12m_hit_rate_pct
SPX,blue,121,0.2,0.32,52.9,1.31,-2.99,48.8,26.98,26.47,93.4
SPX,green,664,1.2,2.46,66.0,2.47,5.99,70.2,7.52,16.45,72.1
SPX,neutral,2793,0.86,1.47,65.2,2.46,2.93,69.1,9.42,10.57,84.0
SPX,yellow,1565,0.63,1.14,66.9,2.54,3.6,74.1,11.83,13.56,84.3
SPX,orange,500,0.77,1.23,66.9,1.44,3.03,73.8,5.54,7.27,71.4
SPX,red,3,-0.17,-0.17,0.0,,,,,,
NDX,blue,121,1.75,1.77,57.9,7.04,5.67,64.5,44.63,47.61,96.7
NDX,green,660,1.64,2.93,66.7,4.26,6.55,75.0,14.73,22.12,74.1
NDX,neutral,2788,1.24,1.77,62.6,3.69,4.12,68.6,14.59,13.75,87.7
NDX,yellow,1542,1.2,1.54,68.8,3.91,5.09,75.9,17.74,21.16,87.6
NDX,orange,532,1.05,1.24,62.7,2.34,3.28,72.3,12.68,13.48,77.5
NDX,red,3,-0.51,-0.51,0.0,,,,,,
