asset,ma_days,risk_target_pct,valuation_score_threshold,confirm_days,recover_days,strategy_vs_fixed_pct,risk_event_count
SPX,150,15.0,90.0,10,10,1.24,10
NDX,150,15.0,90.0,10,10,2.77,10
SPX,150,20.0,90.0,10,10,1.65,10
NDX,150,20.0,90.0,10,10,3.68,10
SPX,150,25.0,90.0,10,10,2.06,10
NDX,150,25.0,90.0,10,10,4.6,10
SPX,200,15.0,90.0,10,10,0.92,10
NDX,200,15.0,90.0,10,10,1.46,10
SPX,200,20.0,90.0,10,10,1.23,10
NDX,200,20.0,90.0,10,10,1.94,10
SPX,200,25.0,90.0,10,10,1.53,10
NDX,200,25.0,90.0,10,10,2.41,10
SPX,200,20.0,95.0,10,10,0.36,2
NDX,200,20.0,95.0,10,10,0.13,2
